acc,status,balance,transferred,ms,note
abul10681,OK,1500,1500,2945,
abul10682,OK,1500,1500,2943,
abul10683,OK,800,800,2911,
abul10684,OK,510,510,2861,
abul10685,OK,750,750,2952,
abul10686,OK,750,750,2949,
abul10687,OK,700,700,3394,
abul10688,OK,650,650,2895,
abul10689,OK,650,650,2894,
abul10690,OK,510,510,3133,
abul10691,OK,1000,1000,2914,
abul10692,OK,510,510,2960,
abul10693,OK,1250,1250,2835,
abul10694,OK,550,550,2961,
abul10695,OK,1000,1000,2897,
abul10696,OK,1500,1500,2825,
abul10697,OK,800,800,2879,
abul10698,OK,575,575,2898,
abul10699,OK,600,600,2972,
abul10700,OK,600,600,2992,
abul10701,OK,700,700,2850,
abul10702,OK,550,550,2908,
abul10703,OK,1000,1000,2922,
abul10704,OK,1500,1500,2933,
abul10705,OK,575,575,2861,
abul10706,OK,800,800,2983,
abul10707,OK,750,750,2892,
abul10708,OK,1000,1000,2767,
abul10709,OK,525,525,2934,
abul10710,OK,700,700,2953,
abul10711,OK,575,575,2791,
abul10712,OK,575,575,2793,
abul10713,OK,550,550,2871,
abul10714,OK,550,550,2933,
abul10715,OK,800,800,2958,
abul10716,OK,800,800,2783,
abul10717,OK,1500,1500,2917,
abul10718,OK,1250,1250,2823,
abul10719,OK,525,525,2873,
abul10720,OK,600,600,2903,
abul10721,OK,510,510,2895,
abul10722,OK,600,600,3321,
abul10723,OK,1000,1000,3022,
abul10724,OK,1250,1250,2961,
abul10725,OK,1000,1000,2987,
abul10726,OK,800,800,3118,
abul10727,OK,800,800,2897,
abul10729,OK,750,750,2909,
abul10730,OK,575,575,2895,
abul10731,OK,650,650,3003,
abul10732,OK,575,575,3005,
abul10733,OK,650,650,2888,
abul10734,OK,550,550,2855,
abul10735,OK,700,700,2797,
abul10736,OK,750,750,2959,
abul10737,OK,1000,1000,3039,
abul10738,OK,800,800,2921,
abul10739,OK,600,600,2874,
abul10740,OK,1000,1000,2921,
abul10741,OK,700,700,2923,
abul10742,OK,600,600,2984,
abul10743,OK,1250,1250,2895,
abul10744,OK,700,700,2849,
abul10745,OK,510,510,2856,
abul10746,OK,575,575,2957,
abul10747,OK,600,600,3256,
abul10748,OK,1000,1000,2947,
abul10750,OK,525,525,2821,
abul10751,OK,800,800,3000,
abul10752,OK,1250,1250,2850,
abul10753,OK,600,600,2887,
abul10754,OK,1000,1000,2832,
abul10755,OK,510,510,2446,
abul10756,OK,1250,1250,2911,
abul10757,OK,550,550,2836,
abul10758,OK,700,700,2884,
abul10759,OK,800,800,2799,
abul10760,OK,650,650,2947,
abul10761,OK,525,525,2955,
abul10762,OK,800,800,2919,
abul10763,OK,510,510,2944,
abul10764,OK,750,750,2919,
abul10765,OK,1500,1500,3003,
abul10766,OK,550,550,2960,
abul10767,OK,700,700,2912,
abul10768,OK,650,650,2921,
abul10769,OK,525,525,2891,
abul10770,OK,600,600,2950,
abul10771,OK,525,525,2906,
abul10772,OK,575,575,2862,
abul10773,OK,800,800,2907,
abul10774,OK,575,575,2810,
abul10775,OK,800,800,2892,
abul10776,OK,800,800,2893,
abul10777,OK,700,700,2854,
abul10778,OK,510,510,2975,
abul10779,OK,700,700,2904,
abul10780,OK,510,510,2894,
abul10781,OK,1000,1000,2949,
abul10782,OK,800,800,3023,
abul10783,OK,575,575,2845,
abul10784,OK,575,575,2882,
abul10785,OK,800,800,2879,
abul10786,OK,1500,1500,2940,
abul10787,OK,750,750,2847,
abul10788,OK,650,650,3398,
abul10789,OK,1500,1500,2875,
abul10790,OK,1250,1250,2933,
abul10791,OK,750,750,2979,
abul10792,OK,600,600,2932,
abul10793,OK,1500,1500,2788,
abul10794,OK,1000,1000,3009,
abul10795,OK,700,700,2900,
abul10796,OK,1250,1250,2921,
abul10797,OK,650,650,2837,
abul10798,OK,600,600,2966,
abul10799,OK,800,800,2889,
abul10800,OK,1250,1250,2984,
abul10801,OK,700,700,2931,
abul10802,OK,1000,1000,2888,
abul10803,OK,1000,1000,2868,
abul10804,OK,800,800,2955,
abul10805,OK,700,700,2870,
abul10806,OK,700,700,2918,
abul10807,OK,1000,1000,2976,
abul10808,OK,650,650,2930,
abul10809,OK,510,510,2906,
abul10810,OK,550,550,2989,
abul10811,OK,1500,1500,2805,
abul10812,OK,800,800,2862,
abul10813,OK,650,650,2981,
abul10814,OK,600,600,3044,
abul10815,OK,700,700,2945,
abul10816,OK,1250,1250,2962,
abul10817,OK,750,750,2854,
abul10818,OK,600,600,2992,
abul10819,OK,510,510,2906,
abul10820,OK,550,550,2902,
abul10821,OK,1250,1250,2901,
abul10822,OK,1500,1500,2904,
abul10823,OK,550,550,2922,
abul10824,OK,1250,1250,2933,
abul10825,OK,600,600,2929,
abul10826,OK,700,700,2878,
abul10827,OK,700,700,2858,
abul10828,OK,575,575,2808,
abul10829,OK,1000,1000,2894,
abul10830,OK,1250,1250,2949,
abul10831,OK,525,525,3002,
abul10832,OK,700,700,2902,
abul10833,OK,1000,1000,2917,
abul10834,OK,800,800,2862,
abul10835,OK,525,525,2895,
abul10836,OK,1250,1250,2926,
abul10837,OK,1250,1250,2993,
abul10838,OK,525,525,2869,
abul10839,OK,600,600,2782,
abul10840,OK,1000,1000,2902,
abul10841,OK,600,600,2878,
abul10842,OK,750,750,3316,
abul10843,OK,1500,1500,2910,
abul10844,OK,525,525,2967,
abul10845,OK,700,700,2936,
