acc,status,remain,reward,prize,ms,note
nguyen1162,SPUN,1,500,500 xu,3504,
nguyen1163,SPUN,1,200,200 xu,3524,
nguyen1164,SPUN,1,100,100 xu,3556,
nguyen1165,SPUN,1,150,150 xu,3460,
nguyen1166,SPUN,1,100,100 xu,3427,
nguyen1167,SPUN,1,1000,1000 xu,3524,
nguyen1168,SPUN,1,100,100 xu,3665,
nguyen1169,SPUN,1,10,10 xu,3552,
nguyen117,SPUN,1,50,50 xu,3596,
nguyen1170,SPUN,1,100,100 xu,3614,
nguyen1171,SPUN,1,750,750 xu,3457,
nguyen1172,SPUN,1,200,200 xu,3656,
nguyen1173,SPUN,1,500,500 xu,3511,
nguyen1174,SPUN,1,10,10 xu,3583,
nguyen1175,SPUN,1,300,300 xu,3546,
nguyen1176,SPUN,1,300,300 xu,3592,
nguyen1177,SPUN,1,200,200 xu,3522,
nguyen1178,SPUN,1,25,25 xu,3608,
nguyen1179,SPUN,1,250,250 xu,3622,
nguyen118,SPUN,1,500,500 xu,3441,
nguyen1180,SPUN,1,750,750 xu,3502,
nguyen1181,SPUN,1,300,300 xu,3564,
nguyen1182,SPUN,1,10,10 xu,3531,
nguyen1183,SPUN,1,50,50 xu,3412,
nguyen1184,SPUN,1,150,150 xu,4111,
nguyen1185,SPUN,1,75,75 xu,3976,
nguyen1186,SPUN,1,100,100 xu,3982,
nguyen1187,SPUN,1,1000,1000 xu,4047,
nguyen1188,SPUN,1,100,100 xu,4059,
nguyen1189,SPUN,1,200,200 xu,4013,
nguyen119,SPUN,1,750,750 xu,3549,
nguyen1190,SPUN,1,75,75 xu,3933,
nguyen1191,SPUN,1,50,50 xu,3911,
nguyen1192,SPUN,1,1000,1000 xu,4016,
nguyen1193,SPUN,1,150,150 xu,3815,
nguyen1194,SPUN,1,25,25 xu,3919,
nguyen1195,SPUN,1,250,250 xu,3706,
nguyen1196,SPUN,1,250,250 xu,3780,
nguyen1197,SPUN,1,75,75 xu,3947,
nguyen1198,SPUN,1,250,250 xu,3788,
nguyen1199,SPUN,1,50,50 xu,3641,
nguyen120,SPUN,1,300,300 xu,3543,
nguyen1200,SPUN,1,250,250 xu,3750,
nguyen1201,SPUN,1,1000,1000 xu,3732,
nguyen1202,SPUN,1,50,50 xu,3746,
nguyen1203,SPUN,1,200,200 xu,3486,
nguyen1204,SPUN,1,750,750 xu,3817,
nguyen1205,SPUN,1,100,100 xu,3982,
nguyen1206,SPUN,1,100,100 xu,3769,
nguyen1207,SPUN,1,250,250 xu,3714,
nguyen1208,SPUN,1,100,100 xu,3692,
nguyen1209,SPUN,1,750,750 xu,3698,
nguyen121,SPUN,1,25,25 xu,3575,
nguyen1210,SPUN,1,150,150 xu,3682,
nguyen1211,SPUN,1,200,200 xu,4095,
nguyen1212,SPUN,1,750,750 xu,4689,
nguyen1213,SPUN,1,200,200 xu,3838,
nguyen1214,SPUN,1,500,500 xu,3684,
nguyen1215,SPUN,1,750,750 xu,3891,
nguyen1216,SPUN,1,75,75 xu,3659,
nguyen1217,SPUN,1,300,300 xu,3779,
nguyen1218,SPUN,1,75,75 xu,3803,
nguyen1219,SPUN,1,250,250 xu,3642,
nguyen122,SPUN,1,100,100 xu,3533,
nguyen1220,SPUN,1,75,75 xu,3823,
